iter	RMSE
0	11817.4295
1	11539.81445
2	11243.70051
3	10934.20465
4	10653.37167
5	10420.77479
6	10161.79142
7	9876.471366
8	9614.979361
9	9353.568985
10	9143.178779
11	8932.858572
12	8708.546547
13	8493.470711
14	8282.082936
15	8083.445222
16	7906.842687
17	7744.823673
18	7587.341109
19	7431.972898
20	7288.671317
21	7140.234276
22	7002.520641
23	6871.174105
24	6749.494254
25	6622.408722
26	6513.343927
27	6401.601382
28	6306.933991
29	6208.004063
30	6119.427237
31	6040.268673
32	5963.202299
33	5887.231839
34	5808.224368
35	5732.68312
36	5685.823381
37	5620.362263
38	5567.657228
39	5506.203738
40	5445.994614
41	5396.677196
42	5356.86557
43	5307.707182
44	5257.030819
45	5213.346791
46	5170.833994
47	5133.303035
48	5099.038272
49	5067.664835
50	5031.611861
51	4996.533825
52	4964.843565
53	4927.094696
54	4897.214066
55	4873.148155
56	4846.247194
57	4828.2984
58	4801.293811
59	4777.544756
60	4757.612642
61	4736.735032
62	4715.029434
63	4695.16081
64	4673.97874
65	4652.19931
66	4634.791107
67	4614.51606
68	4598.134113
69	4584.846502
70	4569.032587
71	4552.641065
72	4534.934154
73	4522.824224
74	4512.127275
75	4497.717272
76	4484.347533
77	4591.440225
78	4575.968588
79	4566.910135
80	4556.58199
81	4544.850826
82	4536.714385
83	4530.030697
84	4522.383282
85	4515.014236
86	4506.17553
87	4499.51187
88	4491.417935
89	4483.5507
90	4475.109603
91	4469.46113
92	4461.531507
93	4460.163414
94	4458.210787
95	4450.141267
96	4441.105383
97	4431.97635
98	4425.941518
99	4421.327529
100	4411.676027
101	4400.685125
102	4394.884255
103	4387.860127
104	4383.197177
105	4382.442172
106	4373.786321
107	4369.090186
108	4360.954362
109	4357.47429
110	4349.483655
111	4345.973379
112	4340.166335
113	4334.150277
114	4329.114426
115	4326.245643
116	4321.42921
117	4320.295855
118	4313.120137
119	4308.903569
120	4306.701997
121	4299.879036
122	4296.813061
123	4293.985637
124	4286.456365
125	4281.902513
126	4277.946047
127	4271.277594
128	4267.142461
129	4261.983142
130	4253.99574
131	4249.339068
132	4245.661711
133	4236.510401
134	4232.699659
135	4230.249665
136	4221.840182
137	4218.370914
138	4213.529945
139	4208.78757
140	4204.569935
141	4201.416054
142	4196.027704
143	4191.702291
144	4186.758236
145	4182.98354
146	4181.433934
147	4178.345515
148	4174.662737
149	4173.219288
150	4168.142903
151	4165.080668
152	4159.007292
153	4155.074588
154	4151.852408
155	4146.196123
156	4145.751561
157	4143.430337
158	4140.831329
159	4138.231577
160	4133.998769
161	4129.8802
162	4127.991334
163	4123.460175
164	4120.476974
165	4116.024563
166	4109.660242
167	4105.081219
168	4097.189716
169	4093.869884
170	4091.831355
171	4088.699521
172	4086.357889
173	4083.38914
174	4079.754259
175	4075.788199
176	4070.890036
177	4065.167652
178	4060.509019
179	4057.2466
180	4055.202165
181	4050.88314
182	4047.944921
183	4046.395015
184	4044.433759
185	4042.097788
186	4038.744668
187	4035.054423
188	4031.542998
189	4024.719978
190	4022.193085
191	4016.952473
192	4012.983921
193	4007.257267
194	4004.687863
195	4001.933879
196	3998.184677
197	3994.888857
198	3990.349379
199	3987.02696
200	3983.20917
201	3980.589917
202	3978.514755
203	3976.323606
204	3968.661149
205	3966.436654
206	3963.587174
207	3959.747804
208	3958.636996
209	3957.531425
210	3953.184806
211	3950.023411
212	3947.093744
213	3944.604031
214	3942.045286
215	3940.379838
216	3937.829605
217	3934.334716
218	3931.514793
219	3930.472821
220	3927.742127
221	3924.820671
222	3922.481337
223	3920.396835
224	3917.81351
225	3915.464823
226	3912.158993
227	3910.438956
228	3905.418955
229	3902.480711
230	3901.497774
231	3896.26094
232	3895.057084
233	3892.565582
234	3890.091842
235	3884.614454
236	3877.021227
237	3874.622322
238	3873.223775
239	3870.473224
240	3868.015464
241	3865.411571
242	3861.491478
243	3858.96097
244	3856.784452
245	3853.444986
246	3850.309557
247	3847.575671
248	3846.415124
249	3844.902289
250	3842.292262
251	3839.912788
252	3837.714522
253	3835.454309
254	3832.853847
255	3830.462271
256	3828.222349
257	3826.190595
258	3824.089974
259	3821.626564
260	3818.999896
261	3816.768296
262	3814.382464
263	3809.738489
264	3808.669419
265	3806.816773
266	3804.936748
267	3803.042491
268	3798.76232
269	3796.003691
270	3795.124537
271	3793.528553
272	3791.169751
273	3788.971512
274	3786.870017
275	3785.129094
276	3782.820435
277	3781.08552
278	3777.332319
279	3775.5203
280	3773.794208
281	3770.880634
282	3769.683983
283	3762.574293
284	3760.836666
285	3758.682608
286	3755.124314
287	3753.679255
288	3751.224999
289	3745.164668
290	3742.176633
291	3735.657662
292	3732.354934
293	3729.660165
294	3727.401202
295	3725.959263
296	3719.897683
297	3717.512957
298	3714.242694
299	3711.634963
300	3707.14088
301	3706.334139
302	3703.885911
303	3702.213253
304	3699.634248
305	3698.276854
306	3695.820583
307	3693.922644
308	3689.065687
309	3687.650809
310	3686.133224
311	3680.425733
312	3679.119637
313	3674.130144
314	3672.85441
315	3670.725426
316	3669.678728
317	3668.099335
318	3664.147291
319	3662.807678
320	3660.46542
321	3656.974432
322	3655.536325
323	3653.718402
324	3651.225835
325	3649.947643
326	3647.133565
327	3644.765381
328	3640.086796
329	3638.494922
330	3633.465291
331	3632.6919
332	3631.546207
333	3626.584983
334	3624.855846
335	3620.13232
336	3615.456313
337	3613.794875
338	3609.945471
339	3608.2793
340	3605.363059
341	3601.653324
342	3597.53334
343	3595.783147
344	3594.069979
345	3592.932176
346	3590.985449
347	3590.022908
348	3588.312813
349	3587.51472
350	3586.413651
351	3582.077591
352	3580.65734
353	3576.87626
354	3575.994342
355	3573.479188
356	3570.927038
357	3568.13314
358	3564.329443
359	3562.037728
360	3560.377955
361	3558.101798
362	3554.258327
363	3552.060252
364	3549.370965
365	3546.759342
366	3546.063128
367	3542.620287
368	3540.839369
369	3539.058066
370	3536.776353
371	3535.360307
372	3531.705892
373	3530.273971
374	3526.805607
375	3523.632165
376	3521.184906
377	3518.590466
378	3517.42192
379	3516.419314
380	3513.857819
381	3509.084276
382	3507.729332
383	3505.917413
384	3502.837048
385	3500.355294
386	3497.34748
387	3494.948691
388	3493.161027
389	3490.889102
390	3489.826832
391	3486.361095
392	3484.649096
393	3482.507177
394	3480.509699
395	3477.540763
396	3473.950702
397	3469.782009
398	3468.403542
399	3465.647304
400	3463.596897
401	3460.447988
402	3458.079511
403	3455.269297
404	3452.109572
405	3450.691821
406	3447.530945
407	3446.120477
408	3443.688359
409	3443.023464
410	3442.062423
411	3439.793851
412	3438.765715
413	3437.258705
414	3436.610132
415	3431.934102
416	3430.342888
417	3429.11401
418	3427.71005
419	3423.801136
420	3422.002149
421	3420.359766
422	3419.492098
423	3418.152317
424	3415.439192
425	3413.784489
426	3410.604691
427	3407.886514
428	3406.603212
429	3405.311502
430	3400.683392
431	3397.714086
432	3393.924703
433	3392.45331
434	3390.557797
435	3388.098183
436	3387.400713
437	3385.288207
438	3382.17524
439	3377.76592
440	3373.562206
441	3371.256389
442	3367.935934
443	3366.620393
444	3365.251128
445	3364.060474
446	3362.745978
447	3361.606982
448	3358.653694
449	3356.907499
450	3356.030009
451	3354.393496
452	3353.543404
453	3352.524343
454	3347.439436
455	3346.324784
456	3345.099174
457	3343.668788
458	3340.903667
459	3338.26157
460	3337.022528
461	3336.156472
462	3334.813402
463	3332.89405
464	3331.561646
465	3329.622031
466	3327.293867
467	3326.25368
468	3323.011183
469	3319.65342
470	3319.071785
471	3315.94753
472	3312.940953
473	3311.292184
474	3310.223342
475	3309.13397
476	3308.364342
477	3305.142179
478	3304.350441
479	3301.388306
480	3299.695523
481	3298.851491
482	3297.480287
483	3296.548363
484	3293.941518
485	3292.251007
486	3291.255292
487	3290.301562
488	3286.936296
489	3286.249965
490	3285.551215
491	3285.045268
492	3283.058312
493	3281.571741
494	3280.2185
495	3279.723743
496	3276.427747
497	3273.331913
498	3270.098401
499	3265.12927
500	3264.649387
501	3262.844036
502	3261.429033
503	3260.548793
504	3259.451389
505	3258.983607
506	3258.52662
507	3257.91187
508	3254.186224
509	3253.45049
510	3252.162714
511	3250.992543
512	3247.510909
513	3246.819976
514	3244.588671
515	3243.472454
516	3242.076125
517	3240.862633
518	3239.188355
519	3236.213498
520	3234.480237
521	3233.258897
522	3231.246881
523	3230.671192
524	3228.546108
525	3225.500897
526	3224.371382
527	3222.251193
528	3221.609108
529	3221.115473
530	3219.921316
531	3217.371225
532	3215.231104
533	3213.694037
534	3213.014395
535	3211.936933
536	3209.486653
537	3207.474736
538	3206.01524
539	3203.768541
540	3202.8721
541	3200.588166
542	3199.874579
543	3197.47652
544	3195.116844
545	3193.237947
546	3191.581503
547	3190.783279
548	3188.592968
549	3187.444286
550	3186.321947
551	3182.290755
552	3181.748405
553	3180.309567
554	3178.2388
555	3175.30412
556	3174.021401
557	3172.236023
558	3171.432933
559	3170.805447
560	3169.907676
561	3168.755988
562	3168.04278
563	3167.653706
564	3165.702758
565	3163.985996
566	3162.847778
567	3162.256514
568	3161.081243
569	3160.318923
570	3158.172325
571	3157.037703
572	3152.957287
573	3152.484543
574	3150.829879
575	3149.798151
576	3147.457521
577	3146.129905
578	3144.109539
579	3142.7314
580	3139.519267
581	3137.412014
582	3135.09172
583	3131.72598
584	3130.182785
585	3129.481967
586	3126.589744
587	3124.759715
588	3124.088542
589	3122.358477
590	3120.806864
591	3118.702386
592	3116.624955
593	3115.53117
594	3114.864787
595	3113.868343
596	3112.338745
597	3111.245522
598	3110.693493
599	3108.923494
600	3107.345164
601	3106.349832
602	3103.737896
603	3101.868928
604	3100.534649
605	3098.782752
606	3096.100204
607	3094.088347
608	3091.890564
609	3090.58699
610	3089.39721
611	3087.961838
612	3087.369075
613	3085.262286
614	3084.211793
615	3082.652031
616	3081.37792
617	3080.646669
618	3079.941869
619	3077.622369
620	3076.069807
621	3074.430869
622	3071.720902
623	3069.72547
624	3068.771481
625	3068.340062
626	3067.660662
627	3065.711018
628	3064.459467
629	3063.835144
630	3061.135768
631	3058.144911
632	3057.322195
633	3055.02633
634	3052.482886
635	3050.100618
636	3048.679872
637	3047.446361
638	3045.32503
639	3044.273823
640	3042.665596
641	3041.590564
642	3039.999701
643	3038.261283
644	3035.272288
645	3033.003875
646	3032.434627
647	3031.293602
648	3030.329098
649	3027.582652
650	3026.310845
651	3024.828405
652	3022.214726
653	3018.42855
654	3017.775028
655	3015.690474
656	3015.014956
657	3012.661652
658	3011.931086
659	3010.356849
660	3009.568335
661	3007.238592
662	3006.407723
663	3004.316688
664	3002.801514
665	3001.516914
666	3000.565136
667	2998.587123
668	2996.106799
669	2995.319044
670	2993.078209
671	2992.010108
672	2991.298524
673	2990.370775
674	2988.84424
675	2987.706456
676	2985.660424
677	2984.3822
678	2982.691419
679	2980.811896
680	2980.421412
681	2979.379956
682	2978.311561
683	2975.888482
684	2974.566689
685	2973.793929
686	2971.978592
687	2971.669105
688	2970.835465
689	2968.492371
690	2966.85926
691	2965.602844
692	2964.455584
693	2963.555355
694	2962.285885
695	2961.145226
696	2959.784339
697	2959.009472
698	2957.801374
699	2956.860757
700	2955.958961
701	2953.999517
702	2953.077991
703	2951.860679
704	2951.028237
705	2948.729126
706	2947.665745
707	2946.915971
708	2944.841387
709	2944.04741
710	2941.377617
711	2939.790328
712	2939.201097
713	2936.694002
714	2935.028759
715	2932.673399
716	2930.379457
717	2929.246512
718	2928.775753
719	2927.99802
720	2925.957188
721	2923.657414
722	2923.064468
723	2922.505119
724	2921.959269
725	2921.272105
726	2920.167126
727	2918.600444
728	2917.307032
729	2916.336243
730	2914.791582
731	2912.617738
732	2912.303558
733	2910.953956
734	2910.020059
735	2908.98328
736	2904.575026
737	2902.830865
738	2901.448093
739	2898.77999
740	2896.517153
741	2895.355715
742	2893.147393
743	2892.62157
744	2891.497621
745	2889.079984
746	2888.523439
747	2886.24207
748	2885.196559
749	2883.227284
750	2882.217146
751	2880.39285
752	2878.057017
753	2876.637548
754	2876.070257
755	2874.664669
756	2872.527118
757	2871.391975
758	2870.404362
759	2869.449221
760	2867.278677
761	2865.681538
762	2863.637686
763	2861.045608
764	2860.427484
765	2857.505011
766	2856.07034
767	2854.721285
768	2853.340577
769	2851.875032
770	2851.062791
771	2849.172934
772	2847.937726
773	2846.138707
774	2844.750494
775	2843.018474
776	2842.128894
777	2841.103899
778	2839.989457
779	2837.978953
780	2837.184188
781	2836.30562
782	2835.258137
783	2833.741613
784	2831.7401
785	2829.4935
786	2827.981298
787	2827.127983
788	2826.166949
789	2824.623863
790	2823.426637
791	2820.94891
792	2819.109772
793	2816.997792
794	2816.015211
795	2814.668532
796	2813.278111
797	2810.255858
798	2809.356289
799	2808.110975
800	2807.121923
801	2806.151773
802	2803.061489
803	2801.729909
804	2800.779024
805	2798.898661
806	2798.300788
807	2796.343022
808	2794.409298
809	2792.096847
810	2790.759075
811	2789.4928
812	2787.52884
813	2786.71251
814	2786.205644
815	2785.375332
816	2780.994577
817	2778.04479
818	2776.725904
819	2774.569244
820	2773.777623
821	2771.07739
822	2769.862638
823	2769.203438
824	2767.156904
825	2766.382295
826	2763.231398
827	2762.416528
828	2760.287046
829	2758.235167
830	2758.076989
831	2756.169542
832	2755.585197
833	2754.243462
834	2753.086483
835	2751.128492
836	2749.162416
837	2746.724722
838	2744.926497
839	2743.162251
840	2742.178807
841	2741.671119
842	2740.043809
843	2739.201551
844	2735.190429
845	2734.005934
846	2733.336106
847	2731.179578
848	2729.576606
849	2727.424212
850	2726.923373
851	2726.19218
852	2725.411265
853	2724.485126
854	2722.596622
855	2720.747611
856	2719.589166
857	2718.592739
858	2717.430676
859	2716.611367
860	2715.510905
861	2714.616188
862	2712.666192
863	2712.129423
864	2710.987344
865	2706.984007
866	2706.305992
867	2705.922227
868	2704.121188
869	2703.327427
870	2701.518218
871	2698.662514
872	2697.054307
873	2694.948197
874	2693.78389
875	2692.83203
876	2691.499417
877	2688.52886
878	2687.303109
879	2685.852197
880	2685.39649
881	2684.242641
882	2683.487205
883	2682.63547
884	2681.903433
885	2680.295469
886	2678.560189
887	2676.68264
888	2675.591494
889	2674.47764
890	2673.619369
891	2671.314051
892	2670.187375
893	2668.461288
894	2667.700336
895	2665.207595
896	2664.89454
897	2664.174615
898	2662.665331
899	2661.923707
900	2659.30748
901	2658.448926
902	2657.576119
903	2656.776812
904	2656.199645
905	2654.678398
906	2653.868094
907	2653.441491
908	2651.455117
909	2649.597506
910	2648.231296
911	2646.099634
912	2644.928669
913	2643.878876
914	2642.054209
915	2641.453613
916	2638.983342
917	2637.976313
918	2636.954018
919	2636.096919
920	2633.918041
921	2632.830616
922	2632.092313
923	2630.95861
924	2628.817349
925	2628.088503
926	2626.567484
927	2625.861501
928	2625.2943
929	2623.24825
930	2622.516294
931	2621.077729
932	2619.978813
933	2617.953737
934	2616.863631
935	2615.759229
936	2613.249477
937	2611.205831
938	2610.252261
939	2609.402758
940	2609.109155
941	2607.441874
942	2606.732462
943	2605.870187
944	2603.703586
945	2603.146413
946	2602.548308
947	2601.025482
948	2599.981032
949	2599.403314
950	2598.121121
951	2596.377022
952	2594.889572
953	2594.086867
954	2593.489761
955	2592.048241
956	2589.455666
957	2588.775359
958	2587.68112
959	2585.798668
960	2584.279239
961	2583.719132
962	2582.467914
963	2581.724666
964	2580.620664
965	2579.546721
966	2578.610158
967	2577.699754
968	2575.906113
969	2574.828037
970	2573.283347
971	2572.951905
972	2571.834056
973	2571.067705
974	2569.477788
975	2568.832473
976	2567.907936
977	2566.603125
978	2565.434355
979	2563.033256
980	2562.556683
981	2561.335518
982	2559.569851
983	2558.521903
984	2557.191742
985	2556.146768
986	2555.204139
987	2553.868505
988	2550.648426
989	2549.956317
990	2549.392226
991	2547.390128
992	2545.381514
993	2544.766727
994	2544.232929
995	2543.211459
996	2542.633389
997	2540.809293
998	2539.965724
999	2538.188324
9	2348.847563
8168
839
