iter	Passed	Remaining
0	0	850
1	1	570
2	7	2375
3	8	2011
4	13	2591
5	13	2205
6	14	2031
7	22	2750
8	22	2520
9	23	2318
10	24	2191
11	25	2084
12	26	1974
13	27	1902
14	34	2281
15	42	2583
16	43	2487
17	43	2398
18	44	2316
19	45	2243
20	46	2178
21	47	2106
22	48	2039
23	49	1992
24	49	1947
25	50	1905
26	54	1979
27	55	1943
28	56	1905
29	57	1861
30	58	1832
31	59	1787
32	59	1744
33	60	1726
34	61	1702
35	62	1681
36	63	1643
37	63	1616
38	64	1584
39	66	1587
40	67	1569
41	68	1552
42	68	1526
43	69	1511
44	70	1499
45	71	1488
46	72	1476
47	73	1464
48	74	1451
49	75	1429
50	76	1421
51	77	1410
52	78	1394
53	79	1385
54	80	1377
55	81	1367
56	82	1367
57	83	1349
58	84	1342
59	85	1334
60	86	1326
61	87	1319
62	88	1312
63	89	1306
64	90	1301
65	91	1295
66	92	1288
67	93	1285
68	94	1278
69	95	1274
70	96	1267
71	98	1267
72	99	1261
73	100	1255
74	101	1249
75	102	1245
76	103	1240
77	104	1234
78	105	1229
79	106	1225
80	107	1219
81	108	1215
76	390	4679
77	391	4628
78	393	4582
79	394	4535
80	395	4486
81	396	4437
82	397	4390
83	398	4344
84	399	4299
85	400	4254
86	401	4212
87	402	4169
88	403	4128
89	404	4088
90	405	4048
91	409	4039
92	410	4001
93	410	3956
94	410	3914
95	411	3878
96	412	3843
97	413	3808
98	414	3774
99	415	3741
100	416	3709
101	417	3677
102	453	3947
103	454	3914
104	455	3881
105	455	3842
106	456	3811
107	457	3780
108	458	3750
109	459	3720
110	460	3691
111	461	3662
112	463	3636
113	464	3608
114	465	3581
115	466	3553
116	467	3527
117	467	3496
118	468	3470
119	469	3445
120	470	3420
121	471	3396
122	472	3372
123	473	3348
124	475	3325
125	476	3304
126	477	3281
127	478	3259
128	479	3237
129	480	3215
130	481	3194
131	482	3174
132	483	3154
133	484	3133
134	486	3114
135	487	3096
136	488	3077
137	489	3057
138	490	3040
139	492	3023
140	493	3007
141	495	2991
142	496	2974
143	596	3544
144	597	3521
145	598	3499
146	599	3478
147	600	3459
148	602	3440
149	603	3419
150	604	3398
151	606	3383
152	609	3373
153	610	3354
154	611	3335
155	613	3317
156	613	3294
157	614	3275
158	616	3260
159	617	3241
160	618	3222
161	619	3203
162	622	3196
163	623	3180
164	625	3165
165	626	3148
166	628	3135
167	629	3118
168	630	3101
169	632	3085
170	633	3069
171	634	3053
172	635	3037
173	636	3020
174	637	3005
175	638	2988
176	639	2973
177	640	2957
178	641	2941
179	642	2926
180	643	2912
181	644	2897
182	645	2881
183	646	2867
184	647	2852
185	648	2838
186	649	2823
187	650	2810
188	651	2796
189	652	2783
190	653	2769
191	654	2755
192	655	2742
193	656	2729
194	657	2716
195	659	2703
196	660	2690
197	660	2677
198	661	2664
199	662	2651
200	663	2638
201	665	2627
202	666	2615
203	667	2603
204	668	2591
205	669	2579
206	670	2567
207	671	2556
208	671	2543
209	672	2531
210	673	2519
211	674	2508
212	675	2496
213	676	2485
214	677	2474
215	678	2463
216	679	2452
217	680	2441
218	681	2430
219	682	2420
220	683	2409
221	684	2398
222	685	2388
223	686	2378
224	687	2368
225	688	2358
226	689	2348
227	690	2338
228	691	2328
229	692	2319
230	693	2309
231	694	2300
232	695	2290
233	696	2280
234	697	2271
235	698	2262
236	699	2252
237	701	2245
238	702	2236
239	703	2228
240	704	2219
241	705	2211
242	707	2203
243	708	2194
244	709	2186
245	710	2177
246	711	2168
247	712	2159
248	713	2151
249	714	2142
250	715	2134
251	716	2125
252	717	2117
253	717	2108
254	718	2100
255	720	2092
256	721	2084
257	722	2076
258	723	2068
259	724	2061
260	725	2053
261	726	2046
